User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3
1002010,P00035142,T,18-25,4,B,0,0,1.0,5.0,
1005182,P00116242,L,36-45,7,B,4+,1,8.0,15.0,
1003771,P00108142,M,26-35,1,B,0,0,11.0,,
1001100,P0095942,M,26-35,0,B,0,1,,4.0,
1000299,P00059442,Q,999,12,Unknown,4+,0,,8.0,16.0
1004889,P00024742,T,18-25,4,C,3,0,8.0,11.0,
1002535,P00137242,Q,55+,2,Unknown,2,1,,,
1004122,P00114542,M,18-25,19,C,4+,0,,,
1002704,P00113942,T,55+,13,Unknown,1,1,,,
1004682,P00307742,T,26-35,7,B,3,1,99999.0,,
1000233,P00289042,Q,999,20,C,2,1,,,
1002812,P00174442,M,26-35,17,B,3,0,5.0,,
1002063,P00342742,M,26-35,4,A,3,0,8.0,14.0,
1005575,P00052642,L,36-45,7,Unknown,2,0,99999.0,14.0,
1001137,P00318742,M,18-25,4,B,4+,0,1.0,8.0,
1003605,P00110742,L,18-25,12,A,2,0,1.0,2.0,8.0
1002419,P00183342,M,26-35,0,B,3,1,5.0,15.0,18.0
1002389,P00276842,,26-35,16,A,0,1,99999.0,14.0,
1000678,P00100842,T,26-35,0,A,0,1,,,
1004637,P00026142,F,36-45,9,B,0,1,5.0,,
1005910,P00196642,F,46-50,20,B,2,0,8.0,14.0,
1002029,P00354342,F,26-35,12,Unknown,0,0,,11.0,
1004105,P00223942,T,51-55,7,C,1,1,5.0,8.0,
1005786,P00080342,,26-35,6,B,1,1,99999.0,6.0,8.0
1005831,P00087042,T,26-35,1,A,2,1,10.0,14.0,16.0
1003153,P00265242,Q,999,4,Unknown,2,0,,8.0,
1005321,P00223942,M,26-35,4,C,0,0,5.0,8.0,
1002472,P00066742,M,26-35,18,A,1,1,13.0,16.0,
1005874,P00212042,L,26-35,4,Unknown,1,0,,15.0,
1004501,P00145042,M,26-35,17,A,1,1,1.0,2.0,5.0
1003189,P00207742,M,26-35,16,A,1,0,5.0,14.0,
1006002,P00119342,M,51-55,0,C,1,1,10.0,13.0,
1005333,P00019042,,26-35,7,A,4+,0,99999.0,8.0,14.0
1003245,P00330342,M,18-25,2,Unknown,0,1,,11.0,16.0
1005424,P00118742,F,36-45,2,C,2,0,5.0,11.0,
1000902,P00314642,M,55+,0,C,1,1,15.0,,
1004193,P00359042,M,55+,13,C,1,0,,8.0,14.0
1002333,P00237542,Q,51-55,6,C,0,1,,15.0,16.0
1005329,P00285442,F,26-35,5,B,1,0,8.0,,
1004093,P0097242,L,999,4,Unknown,2,0,,16.0,
1004318,P00352242,M,26-35,5,B,3,0,,6.0,16.0
1004454,P00145042,L,26-35,20,Unknown,1,0,,2.0,5.0
1005734,P00247042,F,26-35,14,B,4+,1,,14.0,
1004408,P00102642,F,46-50,2,B,1,1,4.0,8.0,9.0
1005274,P00271942,T,999,0,Unknown,4+,0,,8.0,
1000022,P00220342,,18-25,15,A,4+,0,99999.0,,
1002581,P00102142,M,26-35,11,A,1,0,13.0,16.0,
1005349,P00237742,F,51-55,2,C,1,1,8.0,,
1001153,P00238442,M,18-25,10,C,0,0,,,
1003516,P00028842,M,18-25,4,C,0,0,6.0,8.0,
1001679,P00250842,M,26-35,12,B,4+,1,,,
1001983,P00367042,Q,999,14,A,3,0,,,
1005070,P00114442,M,26-35,2,A,0,0,5.0,6.0,
1001752,P00122042,M,26-35,3,B,1,0,,,
1000335,P00197342,Q,36-45,18,C,0,1,,2.0,
1003778,P00183342,M,26-35,0,B,4+,1,5.0,15.0,18.0
1000509,P00051442,Q,999,2,A,0,1,,17.0,
1005728,P00303042,F,36-45,20,C,3,0,5.0,,
1001100,P00042842,T,26-35,0,Unknown,0,1,,,
1004624,P00370242,M,26-35,12,C,2,0,5.0,,
1004281,P00207742,M,55+,13,Unknown,4+,0,,14.0,
1004688,P00111942,Q,999,9,Unknown,3,1,99999.0,17.0,abc
1001265,P00278942,F,18-25,20,B,0,1,1.0,2.0,3.0
1003476,P00281242,Q,999,0,Unknown,2,1,,,
1003834,P00251642,M,18-25,2,Unknown,2,0,,2.0,4.0
1004354,P00253242,M,36-45,14,B,2,0,5.0,,
1003882,P00304942,M,55+,14,C,1,1,6.0,8.0,
1001174,P00117842,F,18-25,16,C,0,0,5.0,13.0,16.0
1005834,P00111142,M,55+,16,C,4+,0,1.0,15.0,16.0
1004952,P00248942,F,26-35,14,A,1,1,,6.0,14.0
1004539,P00106742,M,36-45,19,C,0,0,3.0,5.0,
1000389,P00031042,M,26-35,6,C,0,0,8.0,,
1003341,P00330742,M,26-35,20,B,4+,0,7.0,,
1005684,P00194042,M,18-25,16,A,1,0,,11.0,
1002695,P00086442,L,36-45,11,C,4+,0,8.0,13.0,15.0
1003649,P00127642,L,26-35,0,B,2,0,1.0,2.0,15.0
1005306,P00303742,L,26-35,17,Unknown,4+,0,99999.0,,
1002372,P0097742,F,46-50,7,C,1,1,8.0,,
1002144,P00028842,M,18-25,0,C,1,1,6.0,8.0,
1006001,P00028842,,26-35,7,A,0,1,99999.0,8.0,
1001680,P00051042,M,26-35,20,A,3,1,8.0,,
1005113,P00174942,M,26-35,0,A,3,1,18.0,,
1001019,P00053642,M,36-45,1,A,4+,1,7.0,,
1002890,P00209742,M,36-45,7,B,2,1,1.0,11.0,15.0
1002127,P00133442,Q,999,4,C,0,1,,16.0,
1004418,P00349242,F,51-55,0,A,2,0,8.0,,
1004118,P00255842,T,26-35,3,C,3,0,16.0,,
1001941,P00221442,M,36-45,17,A,1,0,1.0,2.0,5.0
1001501,P00220042,M,26-35,11,A,3,0,5.0,8.0,
1001151,P00031042,M,26-35,15,C,2,1,8.0,,
1000396,P00362442,M,26-35,1,C,1,0,,,
1005915,P00304142,M,18-25,4,C,0,0,5.0,11.0,
1004585,P00045142,M,36-45,7,C,3,0,1.0,2.0,6.0
1004186,P00111842,L,26-35,7,B,1,1,8.0,,
1000025,P00220142,T,18-25,4,C,4+,0,,15.0,
1003620,P0097342,M,26-35,7,A,1,0,1.0,15.0,16.0
1000676,P00334242,L,18-25,16,B,1,1,1.0,8.0,
1005826,P00145442,M,18-25,4,A,2,1,8.0,15.0,
1000818,P00101842,M,18-25,4,Unknown,2,0,,16.0,
1001716,P00238542,M,26-35,0,B,0,0,5.0,14.0,
1001219,P00148542,Q,26-35,7,Unknown,3,1,,16.0,17.0
1001317,P00146742,L,46-50,7,B,3,1,1.0,13.0,14.0
1000783,P00093342,M,26-35,4,A,2,0,1.0,8.0,18.0
1003830,P00025942,L,18-25,4,C,1,0,8.0,14.0,
1003289,P00362642,M,46-50,6,C,1,1,8.0,18.0,
1002126,P00193742,M,55+,14,C,0,1,8.0,15.0,
1003067,P00241542,F,26-35,0,Unknown,1,0,,6.0,
1003285,P00052342,,26-35,4,Unknown,3,0,99999.0,,
1004647,P00100642,M,36-45,20,Unknown,1,1,,15.0,
1005046,P00125042,M,26-35,16,A,0,0,11.0,,
1001010,P00125642,M,26-35,0,Unknown,1,0,,14.0,
1003152,P00351242,M,18-25,4,A,3,0,3.0,4.0,5.0
1000278,P00125042,,46-50,18,C,4+,1,99999.0,,
1002038,P00111842,Q,999,1,B,3,1,,,
1004725,P00030842,M,36-45,5,A,2,0,,2.0,15.0
1004359,P00267542,L,18-25,4,C,2,0,1.0,16.0,
1000409,P00102642,M,18-25,12,B,4+,0,,8.0,9.0
1003553,P00073842,M,36-45,16,C,0,1,1.0,15.0,17.0
1004826,P00270942,Q,999,12,C,1,1,,2.0,15.0
1002156,P00183242,T,18-25,19,C,4+,0,5.0,15.0,
1004725,P00327542,M,36-45,5,A,2,0,,,
1002837,P00115142,M,18-25,0,B,1,0,1.0,8.0,17.0
1001112,P00201342,M,18-25,6,A,4+,0,1.0,2.0,9.0
1004777,P00244042,L,26-35,2,Unknown,3,0,,2.0,15.0
1005795,P00211042,T,26-35,1,A,1,1,5.0,,
1002457,P00182242,M,26-35,0,B,0,1,,5.0,6.0
1001224,P00114542,M,51-55,13,B,4+,0,5.0,,
1000420,P00219242,M,36-45,1,A,1,0,4.0,5.0,
1005596,P00326242,Q,999,12,B,1,0,,18.0,
1000975,P00312142,M,36-45,0,B,2,1,8.0,,
1001448,P00056142,F,26-35,3,A,1,0,,8.0,
1004655,P00134942,F,26-35,1,A,3,0,5.0,14.0,
1004220,P00222542,T,36-45,0,B,0,1,5.0,8.0,
1000520,P00173042,F,36-45,20,A,2,0,,15.0,16.0
1001120,P00112142,M,18-25,4,A,0,1,,2.0,14.0
1002593,P00057742,Q,999,16,C,2,0,,8.0,18.0
1000368,P00042142,M,26-35,0,C,1,0,1.0,2.0,6.0
1002890,P00197342,M,36-45,7,B,2,1,,2.0,
1002340,P00184342,M,36-45,2,A,2,0,8.0,,
1000267,P00078742,L,999,12,Unknown,1,1,,8.0,14.0
1003761,P00278642,L,26-35,17,C,2,1,5.0,,
1000770,P00027042,Q,18-25,4,Unknown,2,1,,14.0,
1001125,P00072542,F,18-25,4,B,2,0,,6.0,
1000269,P00370242,Q,26-35,2,A,1,1,,,
1001186,P00348942,M,18-25,19,Unknown,1,1,,13.0,
1005452,P00153842,M,36-45,6,A,4+,0,8.0,14.0,16.0
1000518,P00115842,F,36-45,12,C,4+,0,16.0,,
1000601,P00100442,L,18-25,20,Unknown,3,1,,4.0,5.0
1002865,P00271142,L,26-35,6,C,1,1,5.0,,
1004568,P00040342,Q,26-35,4,B,2,1,,,
1004180,P00079142,M,55+,13,C,1,1,11.0,,
1004940,P00109242,F,51-55,11,B,1,0,,8.0,10.0
1001884,P00080042,L,46-50,20,B,1,1,5.0,14.0,
1000797,P00086042,F,51-55,7,C,1,0,8.0,14.0,17.0
1002078,P00186542,M,18-25,4,C,1,0,2.0,4.0,8.0
1000755,P00028842,L,999,0,Unknown,3,1,99999.0,8.0,abc
1002063,P00150342,Q,999,4,Unknown,3,0,,14.0,
1004933,P00357042,Q,999,15,B,3,0,,,
1000453,P00085242,M,18-25,4,B,1,0,8.0,14.0,17.0
1000678,P00333942,Q,26-35,0,A,0,1,99999.0,,abc
1002186,P00028442,M,18-25,5,C,4+,0,1.0,8.0,16.0
1001285,P00124242,,36-45,4,A,0,1,99999.0,14.0,
1004781,P00085242,Q,999,6,C,1,1,,14.0,17.0
1001579,P00112242,M,26-35,0,A,0,0,5.0,8.0,14.0
1001743,P00361842,T,999,17,C,0,0,,16.0,
1001191,P00169542,T,36-45,0,B,3,1,5.0,14.0,
1006032,P00090942,M,46-50,7,A,3,0,1.0,2.0,14.0
1004522,P00119342,M,46-50,1,C,0,1,,13.0,
1005690,P00178242,Q,999,4,B,3,0,,,
1003821,P00181842,T,26-35,20,A,2,1,,,
1004826,P00177342,T,46-50,12,C,1,1,8.0,,
1002793,P00034442,M,36-45,7,B,3,0,1.0,14.0,16.0
1003664,P00192042,T,36-45,1,A,0,0,,9.0,14.0
1004318,P00102542,M,26-35,5,B,3,0,8.0,,
1001132,P00183242,M,18-25,12,A,1,1,5.0,15.0,
1001880,P00348242,Q,36-45,0,Unknown,3,1,,,
1000652,P00028542,M,18-25,20,C,3,0,6.0,8.0,14.0
1003589,P00320242,T,999,0,Unknown,1,1,99999.0,8.0,abc
1002115,P00150542,T,36-45,17,Unknown,1,0,,,
1000963,P00220442,Q,26-35,0,A,0,1,,14.0,
1001019,P00252042,L,36-45,1,A,4+,1,5.0,14.0,
1001303,P00152742,Q,999,19,A,4+,0,99999.0,,abc
1001172,P00255842,F,26-35,0,A,2,1,,,
1006008,P00025442,L,18-25,4,A,4+,0,1.0,2.0,9.0
1004411,P00087842,M,18-25,4,A,3,0,,,
1003029,P00302642,L,999,4,Unknown,4+,0,99999.0,,abc
1005365,P00127942,L,18-25,12,C,0,0,1.0,2.0,5.0
1005888,P00318742,Q,999,20,B,1,0,,8.0,
1005312,P00218042,M,26-35,1,A,1,0,,,
1002639,P00278642,Q,999,6,C,3,0,,,
1003333,P00265242,T,18-25,16,C,1,0,5.0,8.0,
1005644,P00145842,F,18-25,4,C,1,0,4.0,5.0,
1001137,P00002442,M,18-25,4,B,4+,0,8.0,15.0,
1001369,P00121042,Q,999,5,Unknown,1,1,,,
1003001,P00054242,Q,999,4,B,1,0,,6.0,14.0
1002996,P00092842,M,18-25,0,Unknown,1,0,,2.0,16.0
1002599,P00110842,M,26-35,12,B,2,0,1.0,2.0,5.0
1001883,P00087142,Q,51-55,0,B,1,1,,14.0,16.0
1003118,P00116342,L,26-35,0,Unknown,1,0,,,
1000093,P00198242,M,26-35,17,Unknown,1,1,,4.0,9.0
1003400,P00250242,T,26-35,14,C,4+,1,5.0,,
1000019,P00102642,M,0-17,10,A,3,0,4.0,8.0,9.0
1000509,P00237642,L,26-35,2,Unknown,0,1,,14.0,
1003822,P00002142,M,46-50,20,C,1,0,1.0,5.0,8.0
1002899,P00222442,T,36-45,14,A,3,1,5.0,,
1003219,P00301642,F,18-25,4,C,1,0,5.0,,
1002604,P00046742,M,26-35,0,B,1,1,,2.0,15.0
1003272,P00116842,M,36-45,0,B,1,0,2.0,5.0,8.0
1000329,P0097142,M,36-45,7,A,1,0,,,
1004277,P00016042,Q,999,16,A,0,0,99999.0,16.0,abc
1000039,P00351042,,18-25,4,B,2,0,99999.0,,
1001806,P0099242,M,18-25,4,B,1,0,8.0,14.0,
1001968,P00115442,M,26-35,11,B,2,0,,,
1004902,P00210342,M,36-45,14,Unknown,4+,1,,4.0,
1004058,P00271142,M,26-35,6,B,3,1,5.0,,
1001051,P00303542,Q,999,0,A,0,1,,,
1001824,P00237642,T,18-25,4,C,2,0,5.0,14.0,
1003272,P00032842,Q,36-45,0,B,1,0,,,
1004001,P00354242,Q,26-35,1,B,1,1,,,
1002922,P0095842,M,26-35,17,B,2,1,,4.0,12.0
1000822,P00073842,T,26-35,1,B,0,1,1.0,15.0,17.0
1002470,P00368042,Q,999,18,B,4+,1,,15.0,
1005163,P00329542,L,46-50,6,Unknown,1,1,,15.0,16.0
1002669,P00010842,M,46-50,0,C,1,0,,16.0,
1001764,P00168842,L,18-25,0,B,1,0,1.0,2.0,
1001600,P00165442,T,36-45,7,B,1,1,,15.0,16.0
1005680,P00010742,M,51-55,20,A,4+,1,1.0,8.0,17.0
1004976,P00339942,M,26-35,11,C,4+,1,1.0,,
1001168,P00154242,Q,26-35,0,A,1,1,,,
1003125,P00366542,M,26-35,7,A,1,0,5.0,,
1000326,P00196042,Q,999,11,Unknown,1,1,99999.0,9.0,abc
1003967,P00058042,F,18-25,2,A,1,0,,16.0,
1000110,P00115842,M,26-35,2,B,4+,0,16.0,,
1000438,P00035542,Q,999,11,A,3,0,99999.0,4.0,abc
1004867,P00112542,Q,999,16,A,3,0,,11.0,15.0
1001266,P00270242,M,26-35,4,Unknown,0,1,,,
1003201,P00111042,M,46-50,7,Unknown,0,1,,,
1005716,P00221442,L,0-17,10,C,4+,0,1.0,2.0,5.0
1001390,P00035942,Q,999,16,Unknown,3,1,,5.0,18.0
1003521,P00201442,M,26-35,0,B,3,0,,6.0,8.0
1001306,P00155442,Q,999,3,B,3,0,,11.0,15.0
1001450,P00034742,M,18-25,4,B,2,1,5.0,14.0,17.0
1000272,P00124642,M,18-25,0,A,1,0,16.0,,
1001980,P00294242,M,36-45,7,A,1,0,4.0,5.0,
1002529,P00175742,,36-45,9,A,3,0,99999.0,17.0,
1003654,P00237542,L,26-35,17,B,3,1,1.0,15.0,16.0
1002009,P00333042,F,36-45,7,C,3,0,5.0,8.0,
1001741,P00160642,M,36-45,7,A,4+,1,1.0,11.0,15.0
1002889,P0097142,M,36-45,3,A,1,1,12.0,,
1000710,P00033542,M,26-35,20,A,4+,0,5.0,,
1002304,P00207042,T,46-50,12,B,2,1,5.0,14.0,
1001505,P00150542,M,51-55,11,C,3,1,5.0,,
1001333,P00313142,M,26-35,17,A,4+,0,8.0,,
1003745,P00255542,F,26-35,9,Unknown,4+,0,,,
1003550,P00074342,M,26-35,5,B,0,0,5.0,,
1003394,P00157642,M,36-45,7,B,4+,0,1.0,14.0,16.0
1005686,P00215242,M,55+,16,A,1,1,1.0,2.0,8.0
1003574,P00310142,Q,999,6,Unknown,1,1,,15.0,
1004048,P00147642,F,36-45,1,B,1,0,,2.0,
1001474,P00117942,M,26-35,4,A,2,1,5.0,15.0,
1001148,P00259342,M,36-45,17,C,1,1,5.0,9.0,
1002125,P00119142,Q,36-45,3,Unknown,0,0,,4.0,12.0
1004401,P00121342,Q,999,4,A,3,0,,5.0,18.0
1004708,P00112142,Q,26-35,0,B,3,0,,2.0,14.0
1002261,P00267642,M,26-35,5,C,1,0,8.0,,
1006004,P00063342,F,26-35,15,C,2,0,1.0,2.0,9.0
1001311,P00363242,M,18-25,10,Unknown,1,0,,2.0,9.0
1001065,P00010742,F,26-35,0,B,3,0,,8.0,17.0
1003361,P00117242,M,26-35,4,B,0,0,,17.0,
1003806,P00269542,Q,999,4,A,4+,0,,15.0,
1000176,P00218642,,18-25,3,Unknown,1,0,99999.0,,
1002895,P00258842,M,26-35,11,B,4+,0,5.0,,
1004351,P00182242,M,26-35,12,C,2,0,1.0,5.0,6.0
1001752,P00250242,M,26-35,3,B,1,0,5.0,,
1001356,P00147842,Q,999,4,B,2,0,,,
1003349,P00237542,F,18-25,4,B,1,0,1.0,15.0,16.0
1005329,P00022442,Q,999,5,Unknown,1,0,99999.0,16.0,abc
1004422,P00039742,M,26-35,5,A,1,1,5.0,,
1004616,P00188842,M,26-35,20,C,4+,0,8.0,,
1002742,P00244242,M,26-35,17,C,3,0,1.0,2.0,15.0
1004140,P00155142,Q,26-35,0,B,4+,0,,16.0,
1002031,P00295942,M,36-45,20,A,3,0,2.0,5.0,15.0
1001694,P00071442,M,26-35,12,B,3,1,15.0,17.0,
1001926,P00307542,T,0-17,0,B,1,0,,15.0,
1004071,P00112542,M,26-35,17,C,3,1,1.0,11.0,15.0
1005074,P00276042,,0-17,0,Unknown,2,0,99999.0,8.0,
